,0
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,0.06167731157654822
100,0.06163621218715409
101,0.06162495497884344
102,0.06160220209779333
103,0.06162975449495616
104,0.06158999975578168
105,0.061667332808734765
106,0.06167646012217526
107,0.061648116921491664
108,0.06160507958363497
109,0.06166976505671025
110,0.06166687698242224
111,0.06172742546132905
112,0.06171908760599
113,0.06168811965516908
114,0.06170661378434999
115,0.061708455017676835
116,0.06169986742498947
117,0.061798041062228234
118,0.061871614691289614
119,0.06193764044037505
120,0.06192592577602942
121,0.06188380674373204
122,0.06193630363395904
123,0.06193928019821967
124,0.06197097921987697
125,0.06195105271160925
126,0.061965641258362174
127,0.06203281676590764
128,0.06208164882481419
129,0.06204052784529319
130,0.06202983437187741
131,0.06209404327677955
132,0.062126261429606026
133,0.06213659726514957
134,0.06211107773517115
135,0.06218538140553414
136,0.062195733613598286
137,0.06215358199360762
138,0.062153699170225944
139,0.06216547523605237
140,0.062199024948306814
141,0.06222413024889371
142,0.06230788745072426
143,0.06231706681437235
144,0.06230799319801638
145,0.0622996135570112
146,0.062323005017772236
147,0.06242169391824297
148,0.06243270329349729
149,0.06240667175962024
150,0.06237301711221695
151,0.0623699039157706
152,0.0623601778285183
153,0.062373647595205764
154,0.06234642496184395
155,0.062347646994247136
156,0.062427359703038234
157,0.06242119089740235
158,0.06242243256149409
159,0.062409437532386966
160,0.06244293772693653
161,0.06239310862216455
162,0.06235041284309774
163,0.062329354291627295
164,0.06240596724405528
165,0.062360661356197215
166,0.062349771564523995
167,0.062319810654044766
168,0.062376640537037405
169,0.06239135589068527
170,0.06237904626803055
171,0.06231581380947577
172,0.06228276644134668
173,0.062272397617341546
174,0.06220042861562043
175,0.06215218694734311
176,0.06213770032881206
177,0.06211208241143332
178,0.06206182448579929
179,0.06202499692155979
180,0.0619357768717244
181,0.06197717558480738
182,0.06194990532274941
183,0.061912553963728835
184,0.06182903432155918
185,0.0618380309855086
186,0.06188646031792164
187,0.06190290031209786
188,0.06183540639654
189,0.06186824080720742
190,0.06188881224995821
191,0.06178857854839899
192,0.06176736048695185
193,0.061709437885252016
194,0.06167768996129504
195,0.06168379379005043
196,0.06162938722049617
197,0.061629262050742144
198,0.06166876709230474
199,0.06166342689821392
200,0.06160460116693647
201,0.06152607037851483
202,0.061504495309087345
